arbitrary ,[ˈɑ:bɪtrərɪ],"произвольный, случайный"
beside ,[bɪˈsaɪd],"около, вне"
certain ,[ˈsə:tn],"определенный, уверенный"
concerning ,[kənˈsə:nɪŋ],относительно
continuously," ","непрерывно, постоянно"
either ,[ˈaɪðə],"любой, или... или..."
even ,[ˈi:vən],ровный
expensive ,[ɪksˈpensɪv],дорогой
focal ,[ˈfəukəl],"центральный, фокальный"
foreign ,[ˈfɔrɪn],"иностранный, внешний"
heuristic," ",эвристический
illegal," ","незаконный, недопустимый"
imaginary ,[ɪˈmædʒɪnərɪ],воображаемый
insufficient ,[ˌɪnsəˈfɪʃənt],"недостающий, неподходящий"
inverter ,[ɪnˈvə:tə],преобразовательный
initially ,[ɪˈnɪʃəlɪ],первоначально
latter ,[ˈlætə],последний
measured ,[ˈmeʒəd],измеренный
minor ,[ˈmaɪnə],"младший, незначительный"
preemptive ," ",приоритетный
respective ,[rɪsˈpektɪv],соответствущий
respectively ,[rɪsˈpektɪvlɪ],соответственно
similarly ,[ˈsɪmɪləlɪ],"также, подобным образом"
slightly ,[ˈslaɪtlɪ],немного
strictly ,[ˈstrɪktlɪ],"строго, точно"
unconditionally," ",безоговорочно
unreachable," ",недостижимый
whole ,[həul],"целый, общий"
widely," ",широко
