"toward ",[ˈtəuəd],к
"throughout ",[θru:ˈaut],"в течении, на протяжении"
"enough ",[ɪˈnʌf],достаточно
"even ",[ˈi:vən],"даже, еще"
"ever ",[ˈevə],когда-нибудь
"perhaps ",[pəˈhæps],возможно
"should    "," ",если
"thereby ",[ˈðɛəˈbaɪ],таким образом
"unless ",[ənˈles],"если, пока не"
"whether ",[ˈweðə],независимо от того ли
"within ",[wɪˈðɪn],"в течение, в рамках"
"although ",[ɔ:lˈðəu],"хотя, не смотря на то что, если бы даже"
"equally ",[ˈi:kwəlɪ],"одинаково, одновременно"
"even ",[ˈi:vən],"даже, еще"
"however ",[hauˈevə],"однако, тем не менее"
"rather ",[ˈrɑ:ðə],"довольно, скорее, несколько"
"similarly ",[ˈsɪmɪləlɪ],"так же, подобным образом"
somewhere else," ",где-то в другом месте
"whenever ",[wenˈevə],"каждый раз, когда бы ни"
"alongside ",[əˈlɔŋˈsaɪd],рядом с
anymore," ","больше, еще"
occasionally," ","время от времени, иногда"
now and then," ","время от времени, иногда"
in the moment," ",редко
at the moment," ",в данный момент
on," ",с дня
from," ",со времени
hardly ever," ","едва ли, когда-нибудь"
hardly ever," ",едва ли
over there," ",вон там
enough,[ɪˈnʌf],достаточно
particularly," ",особенно
almost," "," почти, едва не"
at," ",применяется со временем
unless,[ənˈles],"если, пока"
until,[ənˈtɪl],"пока, до тех пор пока"
ultimately,[ˈʌltɪmɪtlɪ],в кнечном счете
upstream,[ˈʌpˈstri:m],"по добыче, выше"
well,[wel],"хорошо, ну, намного"
additionally," ",дополнитоельно
whether,[ˈweðə],"независимо от того, ... ли"
within,[wɪˈðɪn],"в передлах, в течении, внутри"
among,[əˈmʌŋ],среди
whenever,[wenˈevə],"каждый раз, когда"
whereas,[wɛərˈæz],"тогда как, принимая во внимание, что"
via,[ˈvaɪə],"через, посредством"
