appreciate," ",appreciated," ",appreciating," ","ценить, оценивать, понимать"
banter," ",bantered," ",bantering," ",подшучивать
behold," ",beheld," ",beholding," ","созерцать, видеть, замечать"
belong,[bilon],belonged," ",belonging," ",принаддежать
chew," ",chewed," ",chewing," ",жевать
cite,[sait],cited," ",citing," ",цитировать
coincide," ",," ",," ",совпадать
complain," ",complained," ",complaining," ",жаловаться
contradict,[contredict],contradicted," ",contradicting," ","противоречить, возражать"
deteriorate," ",deteriorated," ",deteriorating," "," ухудшаться, портиться"
ditch," ",ditched," ",ditching," ","чистить ров, канаву"
enlarge," ",enlarged," ",enlarging," ",увеличивать
flap," ",flapped," ",flapping," ","колебаться, махать"
flush," ",flushed," ",flushing," ","смывать, сбрасывать"
forge ahead," ",forged ahead," ",forging ahead," ",вырываться вперед
get rid," ",got rid," ",getting rid," ",избавляться
gut," ",gutted," ",gutting," ","потрошить, разрушать"
hold on," ",held on," ","holding on "," ","держаться, подождать"
inspire," ",inspired," ",inspiring," ","внушать, вдохновлять"
masquerade," ",masqueraded," ",masquerading," ","притворяться, подменять"
muddle," ",muddled," ",muddling," ","темнить, запутывать"
pill," ",pilled," ",pilling," ","обирать, лысеть"
plough,[plau],plowed," ",ploughing," ","пахать, пробивать с трудом"
poke,[pouk],poked," ",poking," ","тыкать, совать"
ponder,[pander],pondered," ",pondering," ",обдумывать
pound,[paund],pounded," ",pounding," ","толочь, бить, обстреливать"
prop up," ",propped up," ",propping up," ",поддерживать
reconcile," ",reconciled," ",reconciling," ","урегулировать, примерять"
rinse," ",rinsed," ",rinsing," ","ополаскивать, промывать"
rollover," ",rollovered," ",rollovering," ","пролонгировать, перекатывать, ворочать"
sink," ",sank," ",sinking," ","погружаться, тонуть"
stick," ",stuck," ",sticking," ",застревать
stifle,[staifl],stifled," ",stifling," ",душить
suspect," ",suspected," ",suspecting," ","подозревать, не доверять, сомневаться"
swear,[swer],swore," ",swearing," ","клясться, присягать"
swell," ",swelled," ",swelling," ","раздуваться, нарастать"
tackle," ",tacked," ",tackling," ","схватить, энергично браться"
take care of," ",took," ",taking," ","заботиться о, беречь"
tear down,[tee down],tore down," ",tearing down," ","срывать, сносить"
tend," ",tended," ",tending," ","иметь тенденцию, склоняться"
untwist," ",untwisted," ",untwisting," ",раскручивать
unwound,[unwaind],unwound," ",unwinding," ","раскручивать, разматывать"
